"AD_NAME"	"AD_ID"	"CAMPAIGN_ID"	"ACCOUNT_ID"	"ADSET_ID"	"STATUS"	"CLICKS"	"CPC"	"CPM"	"CPP"	"CTR"	"SPEND"	"RELEVANCE_SCORE"	"DATE_START"	"DATE_END"
"Kirirom Institute Of - Video views"	"6121861571843"	"6121861570843"	"495346300520002"	"6121861571443"	"PAUSED"	"4398"	"0.032783"	"0.532924"	"0.985529"	"1.625608"	"144.18"	"2019-04-04"	"2019-05-03"
"Post: "តោះមកទស្សនាលក្ខខណ្ឌងាយៗសម្រាប់ការប្រឡងទទួលយកអាហារូ...""	"6124236879643"	"6124236878043"	"495346300520002"	"6124236878643"	"ACTIVE"	"545"	"0.012789"	"0.41714"	"0.527231"	"3.261715"	"6.97"	"2019-04-04"	"2019-05-03"
"Event: I T エンジニアを採用するならキリロム工科大学　新卒採用・インターンシップ説明会＠渋谷"	"6124198891643"	"6124198890243"	"495346300520002"	"6124198890643"	"ACTIVE"	"64"	"0.994688"	"23.421634"	"41.257291"	"2.354673"	"63.66"	"2019-04-04"	"2019-05-03"
"Post: "សម្រស់ស្រល់គីរីរម្យពិតជាស្អាត...""	"6124049895443"	"6124049893243"	"495346300520002"	"6124049894043"	"ACTIVE"	"1530"	"0.004928"	"0.216636"	"0.245787"	"4.39592"	"7.54"	"2019-04-04"	"2019-05-03"
"Event: KIT 100% Scholarship Seminar and Entrance Examination"	"6124047366243"	"6124047364043"	"495346300520002"	"6124047365043"	"ACTIVE"	"288"	"0.015243"	"0.404534"	"0.456768"	"2.653889"	"4.39"	"2019-04-04"	"2019-05-03"
"Post: "ផ្តើមចេញពីការខិតខំប្រឹងប្រែងរបស់លោកតាកេស៊ិ...""	"6123674752243"	"6123674750243"	"495346300520002"	"6123674751643"	"PAUSED"	"479"	"0.020877"	"0.381679"	"0.494462"	"1.828244"	"10"	"2019-04-04"	"2019-05-03"
"Post: "ដំណឹងជ្រើសរើសបុគ្គលិក!""	"6120531406243"	"6120531405043"	"495346300520002"	"6120531405843"	"ACTIVE"	"864"	"0.056076"	"1.647567"	"2.768097"	"2.938076"	"48.45"	"2019-04-04"	"2019-05-03"
"Post: "ពិធីជួបសំណេះសំណាល ជាមួយនិស្សិតជំនាន់ថ្មីជំនាន់ទី៧...""	"6123177402443"	"6123177401043"	"495346300520002"	"6123177402243"	"ACTIVE"	"1182"	"0.00846"	"0.675083"	"0.964692"	"7.979477"	"10"	"2019-04-04"	"2019-05-03"
"Post: "KIT សង្រ្កាន!...""	"6122621056843"	"6122621055443"	"495346300520002"	"6122621055843"	"ACTIVE"	"4680"	"0.002137"	"0.304414"	"0.374616"	"14.246575"	"10"	"2019-04-04"	"2019-05-03"
"Post: "តោះ! សាកល្បងទាំងអស់គ្នា...""	"6122621234043"	"6122621231843"	"495346300520002"	"6122621232843"	"ACTIVE"	"8238"	"0.002428"	"0.096438"	"0.10498"	"3.972265"	"20"	"2019-04-04"	"2019-05-03"
"Post: "ពិបាកមែនទេពេលមកតំបន់ភ្នំម្តងៗ ទាំងការហូបចុក...""	"6122496141643"	"6122496140043"	"495346300520002"	"6122496141243"	"ACTIVE"	"2041"	"0.009799"	"0.793619"	"0.93932"	"8.098885"	"20"	"2019-04-04"	"2019-05-03"
"Post: "សួស្ដីឆ្នាំថ្មី ""	"6122283111043"	"6122283108643"	"495346300520002"	"6122283109843"	"ACTIVE"	"4183"	"0.011953"	"1.005975"	"1.300627"	"8.415991"	"50"	"2019-04-04"	"2019-05-03"
"Post: "សំណួរ៖​ ធ្វើដូចម្តេច​...""	"6122283137443"	"6122283135243"	"495346300520002"	"6122283136243"	"ACTIVE"	"1286"	"0.007776"	"0.254725"	"0.336406"	"3.275765"	"10"	"2019-04-04"	"2019-05-03"
"Post: "ឱកាសអាហារូបករណ៍100%សម្រាប់ឆ្នាំសិក្សា2019-2020បានម...""	"6121970041843"	"6121970040643"	"495346300520002"	"6121970041443"	"ACTIVE"	"1986"	"0.026687"	"0.308854"	"0.613121"	"1.157329"	"53"	"2019-04-04"	"2019-05-03"
"Post: "សូមស្វាគមន៍ំមកកាន់ វីគីរីរម្យ ផាញ រីស៊ត...""	"6121795021243"	"6121795020043"	"495346300520002"	"6121795020843"	"ACTIVE"	"767"	"0.009909"	"1.055849"	"1.17284"	"10.655738"	"7.6"	"2019-04-04"	"2019-05-03"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy 3"	"6088096126843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"774"	"0.013605"	"1.184077"	"1.674618"	"8.703475"	"10.53"	"2019-04-04"	"2019-05-03"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096126643"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"2359"	"0.011641"	"0.818626"	"1.119948"	"7.032554"	"27.46"	"2019-04-04"	"2019-05-03"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096065843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"13517"	"0.019384"	"0.575083"	"0.983233"	"2.966831"	"262.01"	"2019-04-04"	"2019-05-03"
